Type,Percentage (%)
Empty Alignments (Source to Target),34.71
Empty Alignments (Target to Source),24.25
Unaligned (Source to Target),0.0
Unaligned (Target to Source),0.0
Overaligned (Source to Target),77.09
Overaligned (Target to Source),77.09
